Or_ID,C_ID,P_ID,Order_Date,Order_Time,Qty,Coupon_Discount,DP_ID,CName,gender,Age,City,State,created_date,PName,Category,Brand,Price,Revenue,Discount_Amount,Final_Revenue,Month,Day,Age_Group
OR_31000016,CS_11007877,PD_21004003,2024-06-23,02:45:25,3,0,DV_61000227,Vidhi Sahni,Male,70,Meerut,Uttar Pradesh,2024-05-01,Molestias Biscuits,Beverages,Haldirams,192.97,578.91,0.0,578.91,June,Sunday,Senior
OR_31000017,CS_11002235,PD_21007374,2024-12-16,00:52:10,2,20,DV_61000214,George Dhawan,Female,49,Agra,Uttar Pradesh,2023-12-28,Aliquam Shampoo,Beverages,Nestle,961.37,1922.74,384.548,1538.192,December,Monday,Middle
OR_31000018,CS_11000444,PD_21003638,2024-04-04,14:36:13,4,0,DV_61000075,Kai Dani,Male,35,Howrah,West Bengal,2025-02-25,Iure Soap,Beverages,Haldirams,112.96,451.84,0.0,451.84,April,Thursday,Adult
OR_31000019,CS_11008524,PD_21008614,2024-05-30,00:43:45,9,10,DV_61000204,Rajata Kibe,Female,28,Mangalore,Karnataka,2024-06-12,Cumque Milk,Snacks,Dabur,468.47,4216.23,421.623,3794.607,May,Thursday,Adult
OR_31000020,CS_11002127,PD_21005925,2024-07-27,21:46:38,10,15,DV_61000112,Qasim Sibal,Female,37,Jalandhar,Punjab,2024-09-01,Iure Soap,Home Care,Britannia,557.09,5570.900000000001,835.6350000000001,4735.265,July,Saturday,Middle
OR_31000021,CS_11009588,PD_21001597,2024-10-28,08:23:19,2,15,DV_61000298,Yatin Shanker,Male,29,Aurangabad,Maharashtra,2024-09-16,Quibusdam Soap,Dairy,Britannia,428.66,857.32,128.598,728.722,October,Monday,Adult
OR_31000022,CS_11004660,PD_21003136,2024-12-19,08:44:30,7,0,DV_61000098,Lopa Khare,Male,56,Jamshedpur,Jharkhand,2024-04-17,Accusantium Biscuits,Personal Care,Dabur,87.56,612.9200000000001,0.0,612.9200000000001,December,Thursday,Senior
OR_31000023,CS_11001442,PD_21003055,2025-02-02,07:24:49,7,10,DV_61000146,Harish Srivastava,Female,69,Dhanbad,Jharkhand,2024-12-13,Ducimus Juice,Personal Care,Dabur,498.57,3489.99,348.999,3140.991,February,Sunday,Senior
OR_31000024,CS_11007833,PD_21000713,2025-02-10,10:36:06,7,10,DV_61000061,Harsh Sahota,Female,38,Kollam,Kerala,2023-11-21,Similique Soap,Personal Care,Nestle,489.06,3423.42,342.342,3081.078,February,Monday,Middle
OR_31000025,CS_11009125,PD_21009352,2024-06-03,05:52:21,5,10,DV_61000175,Rushil Lalla,Male,39,Bhopal,Madhya Pradesh,2023-12-01,Eveniet Soap,Personal Care,Amul,617.72,3088.6,308.86,2779.74,June,Monday,Middle
OR_31000026,CS_11007956,PD_21000016,2024-04-21,04:05:14,8,10,DV_61000249,Ishaan Kapadia,Female,50,Patiala,Punjab,2023-09-03,Tenetur Biscuits,Dairy,Dabur,676.81,5414.48,541.448,4873.031999999999,April,Sunday,Middle
OR_31000027,CS_11004988,PD_21006652,2024-11-10,04:30:29,10,10,DV_61000173,Mugdha Deo,Female,51,Vijayawada,Andhra Pradesh,2024-12-07,Eaque Juice,Dairy,Dabur,462.77,4627.7,462.77,4164.93,November,Sunday,Senior
OR_31000028,CS_11008486,PD_21001063,2024-08-16,16:37:12,2,0,DV_61000015,Gagan Bava,Male,55,Kollam,Kerala,2023-03-11,Dolorum Juice,Beverages,Britannia,969.32,1938.64,0.0,1938.64,August,Friday,Senior
OR_31000029,CS_11007053,PD_21003431,2025-02-02,07:02:01,3,20,DV_61000123,Dhruv Swaminathan,Male,26,Bhavnagar,Gujarat,2023-08-08,Voluptas Soap,Beverages,Amul,126.13,378.39,75.678,302.712,February,Sunday,Adult
OR_31000030,CS_11002892,PD_21000209,2025-02-03,04:36:51,8,20,DV_61000068,Lipika Dasgupta,Male,18,Patna,Bihar,2024-08-02,Officiis Soap,Groceries,Nestle,323.65,2589.2,517.84,2071.36,February,Monday,Teen
OR_31000031,CS_11002244,PD_21007956,2025-01-30,22:29:44,6,0,DV_61000077,Pranit Basu,Male,70,Salem,Tamil Nadu,2024-05-25,Ad Soap,Groceries,Parle,748.39,4490.34,0.0,4490.34,January,Thursday,Senior
OR_31000032,CS_11009729,PD_21005935,2024-10-25,03:42:06,10,15,DV_61000049,Suhani Prasad,Female,50,Karnal,Haryana,2024-02-07,Sit Shampoo,Groceries,Amul,17.19,171.9,25.785,146.115,October,Friday,Middle
OR_31000033,CS_11009163,PD_21003963,2024-09-30,04:15:45,3,15,DV_61000130,Zaid Mangal,Female,70,Nizamabad,Telangana,2024-11-15,Veritatis Shampoo,Personal Care,Haldirams,950.07,2850.21,427.5315,2422.6785,September,Monday,Senior
OR_31000034,CS_11001081,PD_21001874,2025-01-04,05:34:17,4,10,DV_61000209,Nitara Ganesan,Male,20,Sambalpur,Odisha,2023-06-03,Exercitationem Milk,Dairy,Amul,375.41,1501.64,150.164,1351.476,January,Saturday,Young
OR_31000035,CS_11009765,PD_21006413,2024-09-09,11:58:56,9,10,DV_61000291,David Zacharia,Female,63,Gwalior,Madhya Pradesh,2024-05-03,Quidem Milk,Snacks,Britannia,305.13,2746.17,274.617,2471.553,September,Monday,Senior
OR_31000036,CS_11007453,PD_21008790,2024-05-25,22:32:01,7,15,DV_61000024,Ikshita Mallick,Female,49,Hazaribagh,Jharkhand,2024-07-12,Nobis Milk,Personal Care,Parle,187.79,1314.53,197.1795,1117.3505,May,Saturday,Middle
OR_31000037,CS_11009553,PD_21007066,2024-11-26,05:40:35,8,10,DV_61000038,Advay Sarin,Male,43,Silchar,Assam,2024-05-21,Earum Shampoo,Groceries,Haldirams,244.66,1957.28,195.728,1761.552,November,Tuesday,Middle
OR_31000038,CS_11004825,PD_21003679,2024-09-15,23:04:36,2,20,DV_61000294,Hemang Chaudry,Female,22,Ranchi,Jharkhand,2024-10-31,Ratione Soap,Beverages,Parle,757.14,1514.28,302.856,1211.424,September,Sunday,Young
OR_31000039,CS_11006576,PD_21003417,2024-05-30,11:03:21,8,0,DV_61000210,Nachiket Sani,Female,56,Mysore,Karnataka,2023-09-01,Sit Milk,Personal Care,Nestle,842.26,6738.08,0.0,6738.08,May,Thursday,Senior
OR_31000040,CS_11003279,PD_21009506,2024-10-31,11:50:26,2,15,DV_61000038,Vansha Bhattacharyya,Male,35,Coimbatore,Tamil Nadu,2023-05-08,Minus Biscuits,Home Care,Nestle,195.98,391.96,58.794,333.166,October,Thursday,Adult
OR_31000041,CS_11006547,PD_21007159,2024-07-29,05:54:26,1,0,DV_61000132,Dipta Raj,Male,59,Guntur,Andhra Pradesh,2023-03-19,Est Milk,Home Care,Nestle,69.24,69.24,0.0,69.24,July,Monday,Senior
OR_31000042,CS_11007500,PD_21002675,2024-05-05,00:30:53,7,0,DV_61000087,Kala Malhotra,Female,44,Kota,Rajasthan,2024-08-27,Voluptates Soap,Snacks,Parle,384.0,2688.0,0.0,2688.0,May,Sunday,Middle
OR_31000043,CS_11008527,PD_21004171,2024-08-17,18:36:29,2,15,DV_61000228,Yatin Goyal,Female,38,Amritsar,Punjab,2023-07-06,Illo Biscuits,Groceries,Dabur,600.0,1200.0,180.0,1020.0,August,Saturday,Middle
OR_31000044,CS_11002206,PD_21001254,2024-09-01,05:38:22,4,15,DV_61000234,Lucky Brar,Female,65,Hyderabad,Telangana,2024-11-26,Deserunt Juice,Beverages,Dabur,684.75,2739.0,410.85,2328.15,September,Sunday,Senior
OR_31000045,CS_11005325,PD_21001968,2025-02-16,04:33:40,2,10,DV_61000162,Hemang Ratti,Female,43,Faridabad,Haryana,2023-03-13,Facilis Milk,Home Care,Amul,267.5,535.0,53.5,481.5,February,Sunday,Middle
OR_31000046,CS_11006718,PD_21007443,2024-07-07,05:26:12,1,20,DV_61000025,Kamala Narayan,Female,39,Amritsar,Punjab,2023-09-29,Excepturi Milk,Snacks,Parle,599.19,599.19,119.838,479.352,July,Sunday,Middle
OR_31000047,CS_11004011,PD_21001259,2024-04-09,18:43:02,7,10,DV_61000020,Balvan Gulati,Male,56,Pune,Maharashtra,2024-04-29,Iste Milk,Dairy,Dabur,885.66,6199.62,619.962,5579.657999999999,April,Tuesday,Senior
OR_31000048,CS_11000092,PD_21005256,2024-07-23,03:37:03,7,10,DV_61000248,Balveer Goyal,Male,45,Faridabad,Haryana,2024-04-14,Suscipit Biscuits,Dairy,Dabur,193.48,1354.36,135.436,1218.924,July,Tuesday,Middle
OR_31000049,CS_11007466,PD_21005894,2025-01-09,02:10:33,10,15,DV_61000179,Lucky Bhandari,Female,67,Jamshedpur,Jharkhand,2024-06-17,Dignissimos Biscuits,Beverages,Nestle,104.37,1043.7,156.555,887.145,January,Thursday,Senior
OR_31000050,CS_11007759,PD_21008630,2024-04-07,04:41:38,8,15,DV_61000277,Oni Misra,Male,25,Ranchi,Jharkhand,2024-07-24,Illum Milk,Personal Care,Dabur,851.89,6815.12,1022.268,5792.852,April,Sunday,Young
OR_31000051,CS_11008107,PD_21004620,2024-04-28,03:39:29,9,15,DV_61000158,Chakrika Ahuja,Female,60,Varanasi,Uttar Pradesh,2023-11-22,Voluptates Biscuits,Personal Care,Parle,842.37,7581.33,1137.1995,6444.1305,April,Sunday,Senior
OR_31000052,CS_11004422,PD_21008162,2024-10-28,20:01:40,10,0,DV_61000139,Advik Palla,Female,65,Madurai,Tamil Nadu,2023-09-27,Mollitia Shampoo,Home Care,Dabur,105.89,1058.9,0.0,1058.9,October,Monday,Senior
OR_31000053,CS_11004835,PD_21003838,2024-04-22,04:37:21,1,15,DV_61000185,Balveer Kalla,Male,54,Agra,Uttar Pradesh,2023-04-26,Id Milk,Home Care,Haldirams,209.32,209.32,31.398,177.922,April,Monday,Senior
OR_31000054,CS_11007106,PD_21006516,2025-02-09,12:10:13,6,0,DV_61000058,Madhavi Nazareth,Female,55,Gurgaon,Haryana,2023-08-24,Odit Soap,Snacks,Parle,610.72,3664.32,0.0,3664.32,February,Sunday,Senior
OR_31000055,CS_11004663,PD_21009618,2024-05-09,14:49:01,9,15,DV_61000265,Chakrika Kapur,Female,62,Faridabad,Haryana,2025-01-13,Cupiditate Shampoo,Home Care,Nestle,641.2,5770.8,865.62,4905.18,May,Thursday,Senior
OR_31000056,CS_11005198,PD_21009570,2024-09-30,05:04:45,6,15,DV_61000100,Sachi Agate,Male,37,Ahmedabad,Gujarat,2024-03-24,Unde Juice,Home Care,Britannia,96.59,579.54,86.93099999999998,492.609,September,Monday,Middle
OR_31000057,CS_11008203,PD_21009996,2024-06-21,09:38:08,2,0,DV_61000063,Avi Basak,Female,58,Raipur,Chhattisgarh,2023-05-15,Pariatur Milk,Snacks,Haldirams,216.38,432.76,0.0,432.76,June,Friday,Senior
OR_31000058,CS_11006638,PD_21006774,2024-12-18,06:55:51,9,15,DV_61000072,Panini Ahuja,Male,23,Pune,Maharashtra,2023-05-05,Iure Soap,Groceries,Amul,207.38,1866.42,279.963,1586.457,December,Wednesday,Young
OR_31000059,CS_11002844,PD_21007160,2024-05-06,04:00:21,10,15,DV_61000111,Upasna Sethi,Female,20,Kolkata,West Bengal,2023-10-13,Cupiditate Juice,Home Care,Britannia,302.16,3021.6,453.2400000000001,2568.36,May,Monday,Young
OR_31000060,CS_11005184,PD_21009537,2025-01-18,16:52:21,3,15,DV_61000265,Kashish Sami,Male,25,Pune,Maharashtra,2023-05-13,Tempora Soap,Personal Care,Parle,912.22,2736.66,410.499,2326.161,January,Saturday,Young
OR_31000061,CS_11005132,PD_21000060,2024-10-20,10:07:04,6,20,DV_61000009,Falak Shroff,Male,57,Gwalior,Madhya Pradesh,2024-12-11,Nemo Juice,Beverages,Britannia,383.29,2299.74,459.948,1839.792,October,Sunday,Senior
OR_31000062,CS_11003595,PD_21000406,2025-01-06,08:44:10,8,15,DV_61000180,Krish Choudhary,Male,21,Aurangabad,Maharashtra,2025-02-05,Animi Shampoo,Snacks,Haldirams,510.31,4082.48,612.372,3470.108,January,Monday,Young
OR_31000063,CS_11006065,PD_21005845,2024-03-29,17:22:38,8,0,DV_61000208,Jairaj Shah,Male,38,Jaipur,Rajasthan,2024-01-14,Dolorem Milk,Groceries,Amul,416.38,3331.04,0.0,3331.04,March,Friday,Middle
OR_31000064,CS_11001187,PD_21002188,2024-06-07,20:42:44,3,15,DV_61000291,Edhitha Bobal,Female,27,Bhubaneswar,Odisha,2024-08-01,Praesentium Juice,Groceries,Amul,922.56,2767.68,415.152,2352.528,June,Friday,Adult
OR_31000065,CS_11003334,PD_21002947,2024-12-17,03:26:36,2,10,DV_61000084,Jagat Mitra,Male,57,Jaipur,Rajasthan,2023-03-08,Molestiae Juice,Dairy,Amul,259.34,518.68,51.86799999999999,466.812,December,Tuesday,Senior
OR_31000066,CS_11005778,PD_21005020,2025-02-28,03:20:31,2,10,DV_61000080,Manan Bajwa,Female,62,Raipur,Chhattisgarh,2024-02-04,Quia Milk,Snacks,Britannia,341.23,682.46,68.24600000000001,614.214,February,Friday,Senior
OR_31000067,CS_11009943,PD_21006686,2025-01-17,18:35:00,10,0,DV_61000024,Bishakha Rajagopalan,Female,45,Cuttack,Odisha,2023-09-27,Cumque Biscuits,Personal Care,Haldirams,413.27,4132.7,0.0,4132.7,January,Friday,Middle
OR_31000068,CS_11003352,PD_21008924,2024-06-20,03:26:52,6,15,DV_61000077,Utkarsh Joshi,Female,30,Bangalore,Karnataka,2024-04-09,Est Milk,Home Care,Parle,997.69,5986.14,897.921,5088.219,June,Thursday,Adult
OR_31000069,CS_11005434,PD_21004749,2024-11-17,03:53:55,10,0,DV_61000293,Sai Ben,Female,66,Korba,Chhattisgarh,2023-11-11,Nesciunt Milk,Dairy,Parle,880.05,8800.5,0.0,8800.5,November,Sunday,Senior
OR_31000070,CS_11001256,PD_21005091,2024-06-19,20:02:32,10,20,DV_61000197,Veda Taneja,Female,40,Chennai,Tamil Nadu,2023-04-05,Cum Juice,Home Care,Nestle,571.99,5719.9,1143.98,4575.92,June,Wednesday,Middle
OR_31000071,CS_11009390,PD_21009652,2024-07-23,14:51:49,4,10,DV_61000198,Oni Bakshi,Male,44,Bangalore,Karnataka,2024-01-22,Eveniet Milk,Personal Care,Parle,546.45,2185.8,218.58,1967.22,July,Tuesday,Middle
OR_31000072,CS_11001228,PD_21000006,2024-10-30,14:14:54,7,15,DV_61000138,Nitara Balakrishnan,Female,30,Sambalpur,Odisha,2023-11-02,Doloremque Milk,Home Care,Dabur,853.8,5976.599999999999,896.4899999999999,5080.11,October,Wednesday,Adult
OR_31000073,CS_11004152,PD_21001308,2024-12-02,23:11:24,4,20,DV_61000227,Laban Dixit,Female,47,Varanasi,Uttar Pradesh,2024-07-24,Sequi Shampoo,Groceries,Parle,314.0,1256.0,251.2,1004.8,December,Monday,Middle
OR_31000074,CS_11002658,PD_21001988,2024-09-11,01:36:24,6,10,DV_61000103,Isaiah Krishnan,Male,49,Guntur,Andhra Pradesh,2024-04-18,Atque Milk,Dairy,Haldirams,34.33,205.98,20.598,185.382,September,Wednesday,Middle
OR_31000075,CS_11001859,PD_21009090,2025-02-28,07:38:12,5,10,DV_61000032,Bimala Suri,Male,22,Belgaum,Karnataka,2024-12-23,At Juice,Dairy,Amul,217.4,1087.0,108.7,978.3,February,Friday,Young
OR_31000076,CS_11008915,PD_21002976,2024-07-17,12:07:35,4,10,DV_61000156,Orinder Modi,Male,69,Balasore,Odisha,2024-11-20,Sint Juice,Personal Care,Haldirams,399.55,1598.2,159.82,1438.38,July,Wednesday,Senior
OR_31000077,CS_11003913,PD_21009390,2024-10-04,13:15:49,9,0,DV_61000006,Qarin Bumb,Female,38,Patna,Bihar,2023-03-11,In Shampoo,Snacks,Nestle,607.44,5466.960000000001,0.0,5466.960000000001,October,Friday,Middle
OR_31000078,CS_11005696,PD_21007362,2024-09-19,18:25:28,4,0,DV_61000265,Tamanna Balasubramanian,Male,70,Kozhikode,Kerala,2024-09-05,Cum Milk,Home Care,Amul,385.91,1543.64,0.0,1543.64,September,Thursday,Senior
OR_31000079,CS_11008762,PD_21001956,2024-03-22,01:02:30,2,10,DV_61000053,Agastya Sridhar,Male,51,Mysore,Karnataka,2024-11-22,Praesentium Shampoo,Beverages,Nestle,994.65,1989.3,198.93,1790.37,March,Friday,Senior
OR_31000080,CS_11003374,PD_21008829,2025-01-02,22:52:14,5,0,DV_61000172,Yagnesh Koshy,Female,61,Indore,Madhya Pradesh,2023-11-05,Sapiente Shampoo,Beverages,Britannia,376.61,1883.05,0.0,1883.05,January,Thursday,Senior
OR_31000081,CS_11004800,PD_21005414,2024-07-24,05:14:51,4,10,DV_61000283,Irya Basak,Male,20,Agra,Uttar Pradesh,2023-07-26,Quidem Juice,Snacks,Haldirams,526.08,2104.32,210.432,1893.888,July,Wednesday,Young
OR_31000082,CS_11002853,PD_21006512,2024-08-17,18:53:26,5,15,DV_61000018,Adweta Mander,Female,70,Jalandhar,Punjab,2023-06-08,Autem Juice,Home Care,Dabur,312.46,1562.3,234.345,1327.955,August,Saturday,Senior
OR_31000083,CS_11001649,PD_21006227,2024-05-24,12:21:11,10,0,DV_61000156,Vansha Gola,Male,50,Bokaro,Jharkhand,2024-03-22,Perspiciatis Biscuits,Dairy,Haldirams,67.14,671.4,0.0,671.4,May,Friday,Middle
OR_31000084,CS_11004443,PD_21009877,2025-01-29,22:29:28,9,0,DV_61000299,Gayathri Sunder,Female,47,Durg,Chhattisgarh,2024-02-23,Adipisci Soap,Snacks,Britannia,733.19,6598.710000000001,0.0,6598.710000000001,January,Wednesday,Middle
OR_31000085,CS_11009661,PD_21000006,2024-08-14,03:14:54,1,0,DV_61000232,Aarna Vaidya,Male,45,Silchar,Assam,2024-12-22,Doloremque Milk,Home Care,Dabur,853.8,853.8,0.0,853.8,August,Wednesday,Middle
OR_31000086,CS_11003487,PD_21009406,2025-01-10,18:44:29,5,0,DV_61000170,Wahab Balay,Male,28,Udaipur,Rajasthan,2025-01-11,Enim Shampoo,Groceries,Nestle,511.46,2557.3,0.0,2557.3,January,Friday,Adult
OR_31000087,CS_11001857,PD_21006949,2024-06-04,17:48:47,9,15,DV_61000125,Lohit Nayar,Female,61,Mysore,Karnataka,2024-10-10,Vitae Soap,Dairy,Haldirams,245.71,2211.39,331.7085,1879.6815,June,Tuesday,Senior
OR_31000088,CS_11008563,PD_21000908,2024-03-12,02:31:46,10,15,DV_61000069,Wazir Vyas,Female,50,Jabalpur,Madhya Pradesh,2024-09-09,Consequatur Milk,Snacks,Haldirams,105.8,1058.0,158.7,899.3,March,Tuesday,Middle
OR_31000089,CS_11001106,PD_21003144,2024-08-04,14:05:57,7,20,DV_61000123,Ekani Goda,Male,38,Cuttack,Odisha,2024-09-22,Deserunt Shampoo,Beverages,Dabur,285.3,1997.1,399.42,1597.68,August,Sunday,Middle
OR_31000090,CS_11009163,PD_21003087,2024-10-03,08:51:33,7,15,DV_61000185,Zaid Mangal,Female,70,Nizamabad,Telangana,2024-11-15,Minus Shampoo,Personal Care,Parle,829.46,5806.22,870.933,4935.287,October,Thursday,Senior
OR_31000091,CS_11006239,PD_21003439,2024-05-19,13:23:36,1,10,DV_61000148,Rajata Kapur,Male,49,Panipat,Haryana,2024-11-12,Impedit Milk,Dairy,Amul,64.43,64.43,6.443000000000001,57.98700000000001,May,Sunday,Middle
OR_31000092,CS_11009580,PD_21006803,2024-08-29,02:06:34,10,15,DV_61000258,Ekalinga Mahajan,Male,70,Lucknow,Uttar Pradesh,2024-06-09,Adipisci Biscuits,Dairy,Nestle,833.14,8331.4,1249.71,7081.69,August,Thursday,Senior
OR_31000093,CS_11003344,PD_21000610,2025-02-15,01:36:54,9,15,DV_61000025,Lekha Vaidya,Female,63,Jalandhar,Punjab,2023-08-19,Sequi Juice,Groceries,Britannia,415.36,3738.24,560.7360000000001,3177.504,February,Saturday,Senior
OR_31000094,CS_11009436,PD_21004681,2024-12-27,04:43:10,4,0,DV_61000117,Aashi Rege,Female,46,Rajkot,Gujarat,2023-03-08,Minima Soap,Home Care,Britannia,333.16,1332.64,0.0,1332.64,December,Friday,Middle
OR_31000095,CS_11006239,PD_21008997,2025-02-17,14:50:04,10,0,DV_61000109,Rajata Kapur,Male,49,Panipat,Haryana,2024-11-12,Consequatur Biscuits,Snacks,Haldirams,469.86,4698.6,0.0,4698.6,February,Monday,Middle
OR_31000096,CS_11001013,PD_21002333,2024-05-22,00:33:17,6,20,DV_61000223,Harsh Nath,Male,45,Jaipur,Rajasthan,2024-04-12,Ea Biscuits,Groceries,Britannia,469.25,2815.5,563.1,2252.4,May,Wednesday,Middle
OR_31000097,CS_11007166,PD_21000110,2024-09-28,15:14:00,4,15,DV_61000263,Laban Thaker,Female,69,Howrah,West Bengal,2023-06-24,Provident Biscuits,Beverages,Britannia,582.07,2328.28,349.242,1979.038,September,Saturday,Senior
OR_31000098,CS_11000748,PD_21000518,2025-02-04,03:56:48,2,20,DV_61000029,Gaurav Badami,Male,47,Surat,Gujarat,2023-06-19,Consectetur Shampoo,Dairy,Nestle,820.63,1641.26,328.252,1313.008,February,Tuesday,Middle
OR_31000099,CS_11001498,PD_21004697,2024-05-16,15:09:54,7,20,DV_61000152,Maya Bhatti,Female,25,Kochi,Kerala,2023-05-21,Veniam Juice,Home Care,Dabur,559.89,3919.23,783.846,3135.384,May,Thursday,Young
OR_31000100,CS_11004542,PD_21009957,2024-11-08,08:44:08,10,10,DV_61000190,Ishani Nath,Male,25,Nellore,Andhra Pradesh,2023-08-30,Repellendus Milk,Beverages,Amul,918.51,9185.1,918.51,8266.59,November,Friday,Young
OR_31000101,CS_11004395,PD_21003100,2024-06-17,13:35:05,7,0,DV_61000016,Gautami Varma,Male,64,Lucknow,Uttar Pradesh,2024-10-02,Quas Biscuits,Snacks,Dabur,281.63,1971.41,0.0,1971.41,June,Monday,Senior
OR_31000102,CS_11003323,PD_21002101,2024-08-06,11:16:05,7,15,DV_61000016,Finn Malhotra,Female,38,Korba,Chhattisgarh,2024-05-18,Molestiae Juice,Groceries,Dabur,745.99,5221.93,783.2895000000001,4438.6405,August,Tuesday,Middle
OR_31000103,CS_11001587,PD_21005893,2024-08-22,02:23:33,8,10,DV_61000238,Harshil Rajagopal,Female,42,Meerut,Uttar Pradesh,2024-08-11,Reiciendis Soap,Beverages,Britannia,188.03,1504.24,150.424,1353.816,August,Thursday,Middle
OR_31000104,CS_11002708,PD_21008899,2025-02-07,23:43:47,10,20,DV_61000187,Varsha De,Female,60,Jaipur,Rajasthan,2024-05-24,Itaque Soap,Groceries,Haldirams,989.45,9894.5,1978.9,7915.6,February,Friday,Senior
OR_31000105,CS_11008634,PD_21008093,2024-05-07,06:19:47,7,0,DV_61000147,Omkaar Sunder,Male,23,Jodhpur,Rajasthan,2023-10-11,Porro Biscuits,Personal Care,Dabur,517.34,3621.38,0.0,3621.38,May,Tuesday,Young
OR_31000106,CS_11001393,PD_21002028,2025-01-11,05:55:58,4,20,DV_61000126,Advaith Nayak,Male,30,Bilaspur,Chhattisgarh,2024-03-24,Deserunt Juice,Snacks,Haldirams,597.82,2391.28,478.2560000000001,1913.024,January,Saturday,Adult
OR_31000107,CS_11002849,PD_21004372,2024-11-25,01:10:24,8,15,DV_61000126,Bhavika Kulkarni,Female,63,Muzaffarpur,Bihar,2023-10-26,Tempore Shampoo,Home Care,Haldirams,300.2,2401.6,360.24,2041.36,November,Monday,Senior
OR_31000108,CS_11007928,PD_21004251,2024-05-27,22:58:28,8,10,DV_61000094,Baghyawati Dhar,Female,58,Muzaffarpur,Bihar,2023-10-11,Praesentium Biscuits,Dairy,Dabur,890.37,7122.96,712.296,6410.664,May,Monday,Senior
